142071 silly lifecycle tryor@0.1.2~preinstall: no script for preinstall, continuing
143309 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-useref\node_modules\vinyl-fs\node_modules\through2\node_modules\readable-stream
143310 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\readable-stream
143311 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\are-we-there-yet
143312 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\bufferstreams
143313 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-htmlmin\node_modules\bufferstreams
143314 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\lazystream
143315 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\merge-stream
143316 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\readdirp
143317 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\chokidar
143318 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\replacestream
143319 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\streamfilter
143320 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\through2\node_modules\readable-stream
143321 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\util\node_modules\inherits
143322 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\util
143323 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\assert
143324 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\utils-merge
143325 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\connect
143326 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\foxy
143327 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\v8flags
143328 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vali-date
143329 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\validate-npm-package-license
143330 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\normalize-package-data
143331 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\read-pkg
143332 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\read-pkg-up
143333 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\node-sass\node_modules\meow
143334 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vendors
143335 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\postcss-merge-rules
143336 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\verror
143337 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\jsprim
143338 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\phantomjs\node_modules\http-signature
143339 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl
143340 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-file\node_modules\strip-bom
143341 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-file\node_modules\vinyl
143342 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-file
143343 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-fs\node_modules\clone
143344 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-fs\node_modules\graceful-fs
143345 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-fs\node_modules\isarray
143346 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-fs\node_modules\readable-stream
143347 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-fs\node_modules\vinyl
143348 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-sourcemaps-apply\node_modules\source-map
143349 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-sourcemaps-apply
143350 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vm-browserify
143351 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\node-libs-browser
143352 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\void-elements
143353 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\dom-serialize
143354 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\watchpack\node_modules\async
143355 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\watchpack
143356 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack-core\node_modules\source-map
143357 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack-core
143358 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack\node_modules\acorn
143359 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack\node_modules\async
143360 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack\node_modules\interpret
143361 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack\node_modules\memory-fs
143362 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack\node_modules\supports-color
143363 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack\node_modules\uglify-js\node_modules\async
143364 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack\node_modules\window-size
143365 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack\node_modules\wordwrap
143366 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack\node_modules\cliui
143367 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack\node_modules\yargs
143368 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack\node_modules\uglify-js
143369 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\weinre
143370 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\browser-sync-ui
143371 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\whet.extend
143372 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\svgo
143373 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\postcss-svgo
143374 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\cssnano
143375 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\which
143376 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\global-prefix
143377 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\global-modules
143378 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\resolve-dir
143379 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\findup-sync
143380 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\liftoff
143381 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\which-module
143382 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wide-align
143383 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gauge
143384 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\node-gyp\node_modules\npmlog
143385 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\npmlog
143386 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\window-size
143387 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep\node_modules\ansi-regex
143388 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep\node_modules\ansi-styles
143389 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep\node_modules\has-ansi
143390 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep\node_modules\isarray
143391 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep\node_modules\lodash
143392 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep\node_modules\readable-stream
143393 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep\node_modules\strip-ansi
143394 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep\node_modules\supports-color
143395 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep\node_modules\chalk
143396 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wordwrap
143397 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\optimist
143398 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\bower-config
143399 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\handlebars
143400 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\ng-annotate
143401 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack
143402 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\optionator
143403 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wrap-ansi
143404 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\cliui
143405 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wrappy
143406 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\duplexify\node_modules\once
143407 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\duplexify\node_modules\end-of-stream
143408 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\duplexify
143409 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\end-of-stream\node_modules\once
143410 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\end-of-stream
143411 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\orchestrator
143412 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\once
143413 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\inflight
143414 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\glob
143415 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\globby
143416 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\main-bower-files\node_modules\globby
143417 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\glob-stream\node_modules\glob
143418 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-load-plugins\node_modules\glob
143419 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-load-plugins\node_modules\findup-sync
143420 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-useref\node_modules\glob
143421 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-useref\node_modules\glob-stream\node_modules\glob
143422 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\istanbul
143423 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\karma\node_modules\glob
143424 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\main-bower-files\node_modules\glob-stream\node_modules\glob
143425 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\node-gyp\node_modules\glob
143426 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\node-sass\node_modules\glob
143427 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\node-sass\node_modules\globule\node_modules\glob
143428 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\node-sass\node_modules\globule
143429 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\node-sass\node_modules\gaze
143430 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\rimraf\node_modules\glob
143431 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\rimraf
143432 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\del
143433 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\fs-extra
143434 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\fstream
143435 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\tar
143436 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\run-async
143437 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\inquirer
143438 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\sass-graph\node_modules\glob
143439 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep\node_modules\glob
143440 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\write
143441 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\flat-cache
143442 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\file-entry-cache
143443 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\ws
143444 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\engine.io
143445 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\xml-char-classes
143446 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\ncname
143447 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\html-minifier
143448 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\xml-escape
143449 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\xml2js\node_modules\sax
143450 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\xmlbuilder
143451 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\xml2js
143452 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\selenium-webdriver
143453 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\xmlhttprequest-ssl
143454 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\xtend
143455 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\glob-stream\node_modules\through2
143456 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\glob-stream
143457 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-concat\node_modules\through2
143458 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-sass\node_modules\through2
143459 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-useref\node_modules\through2
143460 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-useref\node_modules\vinyl-fs\node_modules\through2
143461 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\is-my-json-valid
143462 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\eslint
143463 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\har-validator
143464 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\phantomjs\node_modules\request
143465 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\request
143466 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\node-gyp
143467 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\protractor\node_modules\har-validator
143468 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\protractor\node_modules\request
143469 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\protractor
143470 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\main-bower-files\node_modules\through2
143471 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\main-bower-files\node_modules\merge-stream
143472 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\through2
143473 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-sourcemaps
143474 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-util
143475 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-concat
143476 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-footer
143477 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-header
143478 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\ternary-stream
143479 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-if
143480 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\through2-filter
143481 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-useref\node_modules\unique-stream
143482 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-useref\node_modules\glob-stream
143483 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-useref\node_modules\vinyl-fs
143484 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\main-bower-files\node_modules\unique-stream
143485 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\main-bower-files\node_modules\glob-stream
143486 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\main-bower-files\node_modules\vinyl-fs
143487 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-fs\node_modules\through2
143488 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\vinyl-fs
143489 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep\node_modules\through2
143490 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\y18n
143491 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\yallist
143492 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\cross-spawn\node_modules\lru-cache
143493 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\cross-spawn
143494 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\yargs
143495 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\localtunnel
143496 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\yargs-parser\node_modules\camelcase
143497 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\yargs-parser
143498 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\sass-graph\node_modules\yargs
143499 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\sass-graph
143500 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\node-sass
143501 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\yauzl
143502 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\extract-zip
143503 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\yeast
143504 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\engine.io-client
143505 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\socket.io-client
143506 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\socket.io
143507 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\babel-core
143508 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\babel-loader
143509 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\babel-preset-es2015
143510 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\browser-sync
143511 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\browser-sync-spa
143512 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\eslint-loader
143513 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\eslint-plugin-angular
143514 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp
143515 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-angular-templatecache
143516 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-autoprefixer
143517 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-cssnano
143518 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-eslint
143519 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-filter
143520 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-flatten
143521 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-htmlmin
143522 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-inject
143523 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-load-plugins
143524 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-protractor
143525 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-rename
143526 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-replace
143527 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-rev
143528 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-rev-replace
143529 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-sass
143530 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-size
143531 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-uglify
143532 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\gulp-useref
143533 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\http-proxy-middleware
143534 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\karma
143535 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\karma-coverage
143536 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\karma-jasmine
143537 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\karma-ng-html2js-preprocessor
143538 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\karma-phantomjs-launcher
143539 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\karma-phantomjs-shim
143540 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\main-bower-files
143541 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\ng-annotate-loader
143542 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\phantomjs
143543 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\webpack-stream
143544 silly finalize E:\Development\MEAN-Stack\front-end\node_modules\wiredep
143545 silly doSerial build 1154
143546 silly build abbrev@1.0.9
143547 info linkStuff abbrev@1.0.9
143548 silly linkStuff abbrev@1.0.9 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143549 verbose linkBins abbrev@1.0.9
143550 verbose linkMans abbrev@1.0.9
143551 silly build acorn@2.6.4
143552 info linkStuff acorn@2.6.4
143553 silly linkStuff acorn@2.6.4 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143554 verbose linkBins acorn@2.6.4
143555 verbose link bins [ { acorn: './bin/acorn' },
143555 verbose link bins   'E:\\Development\\MEAN-Stack\\front-end\\node_modules\\.bin',
143555 verbose link bins   false ]
143556 verbose linkMans acorn@2.6.4
143557 silly build adm-zip@0.4.4
143558 info linkStuff adm-zip@0.4.4
143559 silly linkStuff adm-zip@0.4.4 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143560 verbose linkBins adm-zip@0.4.4
143561 verbose linkMans adm-zip@0.4.4
143562 silly build after@0.8.1
143563 info linkStuff after@0.8.1
143564 silly linkStuff after@0.8.1 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143565 verbose linkBins after@0.8.1
143566 verbose linkMans after@0.8.1
143567 silly build semver@5.0.3
143568 info linkStuff semver@5.0.3
143569 silly linkStuff semver@5.0.3 has E:\Development\MEAN-Stack\front-end\node_modules\agent-base\node_modules as its parent node_modules
143570 verbose linkBins semver@5.0.3
143571 verbose link bins [ { semver: './bin/semver' },
143571 verbose link bins   'E:\\Development\\MEAN-Stack\\front-end\\node_modules\\agent-base\\node_modules\\.bin',
143571 verbose link bins   false ]
143572 verbose linkMans semver@5.0.3
143573 silly build alphanum-sort@1.0.2
143574 info linkStuff alphanum-sort@1.0.2
143575 silly linkStuff alphanum-sort@1.0.2 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143576 verbose linkBins alphanum-sort@1.0.2
143577 verbose linkMans alphanum-sort@1.0.2
143578 silly build amdefine@1.0.0
143579 info linkStuff amdefine@1.0.0
143580 silly linkStuff amdefine@1.0.0 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143581 verbose linkBins amdefine@1.0.0
143582 verbose linkMans amdefine@1.0.0
143583 silly build ansi-escapes@1.4.0
143584 info linkStuff ansi-escapes@1.4.0
143585 silly linkStuff ansi-escapes@1.4.0 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143586 verbose linkBins ansi-escapes@1.4.0
143587 verbose linkMans ansi-escapes@1.4.0
143588 silly build ansi-regex@2.0.0
143589 info linkStuff ansi-regex@2.0.0
143590 silly linkStuff ansi-regex@2.0.0 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143591 verbose linkBins ansi-regex@2.0.0
143592 verbose linkMans ansi-regex@2.0.0
143593 silly build ansi-styles@2.2.1
143594 info linkStuff ansi-styles@2.2.1
143595 silly linkStuff ansi-styles@2.2.1 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143596 verbose linkBins ansi-styles@2.2.1
143597 verbose linkMans ansi-styles@2.2.1
143598 silly build aproba@1.0.4
143599 info linkStuff aproba@1.0.4
143600 silly linkStuff aproba@1.0.4 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143601 verbose linkBins aproba@1.0.4
143602 verbose linkMans aproba@1.0.4
143603 silly build archy@1.0.0
143604 info linkStuff archy@1.0.0
143605 silly linkStuff archy@1.0.0 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143606 verbose linkBins archy@1.0.0
143607 verbose linkMans archy@1.0.0
143608 silly build arr-flatten@1.0.1
143609 info linkStuff arr-flatten@1.0.1
143610 silly linkStuff arr-flatten@1.0.1 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143611 verbose linkBins arr-flatten@1.0.1
143612 verbose linkMans arr-flatten@1.0.1
143613 silly build arr-diff@2.0.0
143614 info linkStuff arr-diff@2.0.0
143615 silly linkStuff arr-diff@2.0.0 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143616 verbose linkBins arr-diff@2.0.0
143617 verbose linkMans arr-diff@2.0.0
143618 silly build array-differ@1.0.0
143619 info linkStuff array-differ@1.0.0
143620 silly linkStuff array-differ@1.0.0 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143621 verbose linkBins array-differ@1.0.0
143622 verbose linkMans array-differ@1.0.0
143623 silly build array-find-index@1.0.2
143624 info linkStuff array-find-index@1.0.2
143625 silly linkStuff array-find-index@1.0.2 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143626 verbose linkBins array-find-index@1.0.2
143627 verbose linkMans array-find-index@1.0.2
143628 silly build array-slice@0.2.3
143629 info linkStuff array-slice@0.2.3
143630 silly linkStuff array-slice@0.2.3 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143631 verbose linkBins array-slice@0.2.3
143632 verbose linkMans array-slice@0.2.3
143633 silly build array-uniq@1.0.3
143634 info linkStuff array-uniq@1.0.3
143635 silly linkStuff array-uniq@1.0.3 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143636 verbose linkBins array-uniq@1.0.3
143637 verbose linkMans array-uniq@1.0.3
143638 silly build array-union@1.0.2
143639 info linkStuff array-union@1.0.2
143640 silly linkStuff array-union@1.0.2 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143641 verbose linkBins array-union@1.0.2
143642 verbose linkMans array-union@1.0.2
143643 silly build array-unique@0.2.1
143644 info linkStuff array-unique@0.2.1
143645 silly linkStuff array-unique@0.2.1 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143646 verbose linkBins array-unique@0.2.1
143647 verbose linkMans array-unique@0.2.1
143648 silly build arraybuffer.slice@0.0.6
143649 info linkStuff arraybuffer.slice@0.0.6
143650 silly linkStuff arraybuffer.slice@0.0.6 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143651 verbose linkBins arraybuffer.slice@0.0.6
143652 verbose linkMans arraybuffer.slice@0.0.6
143653 silly build arrify@1.0.1
143654 info linkStuff arrify@1.0.1
143655 silly linkStuff arrify@1.0.1 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143656 verbose linkBins arrify@1.0.1
143657 verbose linkMans arrify@1.0.1
143658 silly build asn1@0.1.11
143659 info linkStuff asn1@0.1.11
143660 silly linkStuff asn1@0.1.11 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143661 verbose linkBins asn1@0.1.11
143662 verbose linkMans asn1@0.1.11
143663 silly build assert-plus@0.1.5
143664 info linkStuff assert-plus@0.1.5
143665 silly linkStuff assert-plus@0.1.5 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143666 verbose linkBins assert-plus@0.1.5
143667 verbose linkMans assert-plus@0.1.5
143668 silly build async-each@1.0.1
143669 info linkStuff async-each@1.0.1
143670 silly linkStuff async-each@1.0.1 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143671 verbose linkBins async-each@1.0.1
143672 verbose linkMans async-each@1.0.1
143673 silly build async-each-series@0.1.1
143674 info linkStuff async-each-series@0.1.1
143675 silly linkStuff async-each-series@0.1.1 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143676 verbose linkBins async-each-series@0.1.1
143677 verbose linkMans async-each-series@0.1.1
143678 silly build async-foreach@0.1.3
143679 info linkStuff async-foreach@0.1.3
143680 silly linkStuff async-foreach@0.1.3 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143681 verbose linkBins async-foreach@0.1.3
143682 verbose linkMans async-foreach@0.1.3
143683 silly build lodash@4.16.2
143684 info linkStuff lodash@4.16.2
143685 silly linkStuff lodash@4.16.2 has E:\Development\MEAN-Stack\front-end\node_modules\async\node_modules as its parent node_modules
143686 verbose linkBins lodash@4.16.2
143687 verbose linkMans lodash@4.16.2
143688 silly build async@2.0.1
143689 info linkStuff async@2.0.1
143690 silly linkStuff async@2.0.1 has E:\Development\MEAN-Stack\front-end\node_modules as its parent node_modules
143691 verbose linkBins async@2.0.1
143692 verbose linkMans async@2.0.1
143693 silly build aws-sign2@0.6.0
143694 info linkStuff aws-sign2@0.6.0
